person_age,person_gender,person_0,person_income,person_emp_exp,person_home_2ership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22,0,Master,71948,0,0,35000,4,16.02,0.49,3,561,0,1
21,0,High School,12282,0,2,1000,0,11.14,0.08,2,504,1,0
25,0,High School,12438,3,1,5500,1,12.87,0.44,3,635,0,1
23,0,Bachelor,79753,0,0,35000,1,15.23,0.44,2,675,0,1
24,1,Master,66135,1,0,35000,1,14.27,0.53,4,586,0,1
21,0,High School,12951,0,2,2500,2,7.14,0.19,2,532,0,1
26,0,Bachelor,93471,1,0,35000,0,12.42,0.37,3,701,0,1
24,0,High School,95550,5,0,35000,1,11.11,0.37,4,585,0,1
24,0,Associate,100684,3,0,35000,4,8.9,0.35,2,544,0,1
21,0,High School,12739,0,2,1600,2,14.74,0.13,3,640,0,1
22,0,High School,102985,0,0,35000,2,10.37,0.34,4,621,0,1
21,0,Associate,13113,0,2,4500,5,8.63,0.34,2,651,0,1
23,1,Bachelor,114860,3,0,35000,2,7.9,0.3,2,573,0,1
26,1,Master,130713,0,0,35000,0,18.39,0.27,4,708,0,1
23,0,Associate,138998,0,0,35000,0,7.9,0.25,4,583,0,0
23,0,Master,600891,5,1,30000,3,10.65,0.05,3,670,1,0
23,1,Bachelor,144943,0,0,35000,0,7.9,0.24,4,663,0,0
23,0,High School,111369,0,0,35000,1,20,0.31,4,694,0,1
23,1,Bachelor,136628,0,0,35000,3,18.25,0.26,4,709,0,1
24,0,Master,14283,1,1,1750,0,10.99,0.12,2,679,0,1
25,1,Bachelor,195718,0,0,35000,2,7.49,0.18,4,684,1,0
25,1,High School,165792,4,0,34800,4,16.77,0.21,2,662,0,0
22,0,Master,79255,0,0,34000,0,17.58,0.43,4,691,0,1
24,0,Bachelor,13866,0,2,1500,4,7.29,0.11,3,600,1,0
22,1,Bachelor,97420,1,0,33950,4,14.54,0.35,4,691,0,1
24,0,High School,82443,0,0,33000,5,12.68,0.4,3,654,0,1
21,0,Associate,14288,0,1,4575,2,17.74,0.32,3,626,0,1
23,1,High School,14293,0,2,1400,4,9.32,0.1,3,607,0,0
24,0,Bachelor,79054,1,0,32500,5,9.99,0.41,3,700,0,1
21,0,Bachelor,14988,0,3,4000,0,12.84,0.27,2,553,0,1
21,1,High School,14858,0,2,2000,1,11.12,0.13,3,589,0,1
25,1,Bachelor,144855,1,0,32000,2,6.62,0.22,2,586,1,0
26,1,Bachelor,114645,2,0,31050,5,14.17,0.27,3,681,0,1
25,0,High School,368115,3,0,24250,3,13.85,0.07,3,567,1,0
26,0,Associate,361076,1,1,7800,1,13.49,0.02,4,669,0,0
21,1,Associate,15150,0,2,2500,0,7.51,0.17,4,600,0,1
22,0,Bachelor,58868,0,0,30000,0,18.39,0.51,2,606,0,1
24,1,High School,78026,3,0,30000,3,14.54,0.38,3,582,0,1
25,1,Bachelor,90785,4,0,30000,5,16.89,0.33,4,649,0,1
23,0,High School,86811,0,0,30000,3,11.01,0.35,4,602,0,1
26,1,Bachelor,75503,5,0,30000,1,17.99,0.4,2,616,0,1
24,0,High School,15082,0,2,2500,2,12.69,0.17,3,631,0,1
26,1,Bachelor,361293,5,1,20000,2,7.88,0.06,4,684,1,0
23,1,High School,361547,0,2,24250,0,19.41,0.07,2,637,1,0
26,1,Master,360680,5,2,10000,5,10.38,0.03,4,649,0,0
26,1,Bachelor,360977,5,1,25000,0,15.33,0.07,3,695,1,0
25,0,Bachelor,361244,2,1,18000,5,16.45,0.05,3,620,0,0
26,1,Bachelor,98230,2,0,30000,4,7.49,0.31,3,622,0,1
22,0,High School,80838,0,0,30000,1,12.69,0.37,3,645,0,1
26,1,Master,107957,2,0,30000,3,6.62,0.28,3,654,0,1
24,0,Bachelor,94649,2,0,30000,3,11.01,0.32,4,624,0,1
23,1,High School,94550,1,0,30000,3,18.62,0.32,3,570,0,1
23,1,Bachelor,111153,3,0,30000,4,15.23,0.27,3,648,0,1
23,0,Associate,117250,0,0,30000,2,10.65,0.26,2,652,0,1
25,1,Bachelor,144985,3,0,30000,0,7.9,0.21,4,559,0,0
26,1,High School,337133,7,0,10000,4,15.96,0.03,3,623,1,0
26,1,Associate,333566,2,0,20000,2,11.48,0.06,3,602,1,0
23,1,Bachelor,333399,1,2,35000,4,11.01,0.1,4,609,0,0
25,1,Master,154793,1,0,30000,4,7.29,0.19,4,573,1,0
24,1,Associate,15229,1,2,1750,2,11.01,0.11,3,631,1,0
21,0,Bachelor,158338,0,0,30000,2,5.99,0.19,4,623,1,0
22,0,Bachelor,331034,0,2,12000,2,11.58,0.04,2,602,1,0
26,0,High School,316466,6,1,10000,0,11.01,0.03,4,579,0,1
25,0,Associate,267671,0,1,25000,1,15.7,0.09,2,582,0,1
22,1,Master,85191,0,0,29100,0,15.99,0.34,3,700,0,1
22,1,Associate,15013,0,1,1500,0,14.84,0.1,3,688,0,0
26,1,Bachelor,313100,3,2,28000,5,10.99,0.09,3,607,1,0
25,0,Bachelor,311952,0,1,20000,5,14.42,0.06,2,661,1,0
24,1,High School,306897,5,1,9600,0,6.99,0.03,2,562,1,0
25,0,Bachelor,301136,0,0,25000,1,13.49,0.08,4,664,1,0
25,1,High School,15162,1,2,3000,1,11.01,0.2,3,564,0,1
22,1,Associate,69042,0,0,28000,1,11.01,0.41,2,598,0,1
